Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Bradley International,Windsor Locks,CT,USA,Southwest Airlines Co.,32
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Pittsburgh International,Pittsburgh,PA,USA,AirTran Airways Corporation,32
Kansas City International,Kansas City,MO,USA,Miami International,Miami,FL,USA,AirTran Airways Corporation,32
Lambert-St Louis International,St Louis,MO,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,Trans World Airways LLC,32
Lambert-St Louis International,St Louis,MO,USA,Sacramento International,Sacramento,CA,USA,American Airlines Inc.,32
Long Island - MacArthur,Islip,NY,USA,Orlando International,Orlando,FL,USA,Delta Air Lines Inc.,32
Los Angeles International,Los Angeles,CA,USA,Denver Intl,Denver,CO,USA,Northwest Airlines Inc.,32
Los Angeles International,Los Angeles,CA,USA,San Diego International-Lindbergh,San Diego,CA,USA,Northwest Airlines Inc.,32
McCarran International,Las Vegas,NV,USA,Ted Stevens Anchorage International,Anchorage,AK,USA,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),32
Memphis International,Memphis,TN,USA,Denver Intl,Denver,CO,USA,United Air Lines Inc.,32
Newark Intl,Newark,NJ,USA,Albuquerque International,Albuquerque,NM,USA,Continental Air Lines Inc.,32
Norfolk International,Norfolk,VA,USA,Richmond International,Richmond,VA,USA,Trans World Airways LLC,32
Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,32
Orlando International,Orlando,FL,USA,Palm Beach International,West Palm Beach,FL,USA,Delta Air Lines Inc.,32
Reno/Tahoe International,Reno,NV,USA,Fresno Yosemite International,Fresno,CA,USA,Delta Air Lines Inc.,32
Salt Lake City Intl,Salt Lake City,UT,USA,McNary Fld,Salem,OR,USA,Skywest Airlines Inc.,32
Salt Lake City Intl,Salt Lake City,UT,USA,Reno/Tahoe International,Reno,NV,USA,Expressjet Airlines Inc.,32
San Jose International,San Jose,CA,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,American Airlines Inc.,32
Seattle-Tacoma Intl,Seattle,WA,USA,Ted Stevens Anchorage International,Anchorage,AK,USA,American Airlines Inc.,32
Tri-Cities Regional,Bristol,TN,USA,Memphis International,Memphis,TN,USA,Pinnacle Airlines Inc.,32
University Park,NA,NA,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Independence Air,32
William P Hobby,Houston,TX,USA,Metropolitan Oakland International,Oakland,CA,USA,Southwest Airlines Co.,32
