Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Greater Rochester Int'l,Rochester,NY,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,167598
Pittsburgh International,Pittsburgh,PA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,165256
Gen Edw L Logan Intl,Boston,MA,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,162699
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,149343
Philadelphia Intl,Philadelphia,PA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,144260
Kansas City International,Kansas City,MO,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,144200
Miami International,Miami,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,142862
Baltimore-Washington International,Baltimore,MD,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,142377
Jacksonville International,Jacksonville,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,134371
LaGuardia,New York,NY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,127669
Raleigh-Durham International,Raleigh,NC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,122898
Charlotte/Douglas International,Charlotte,NC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,122346
Theodore F Green State,Providence,RI,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,122266
Chicago O'Hare International,Chicago,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,121110
Chicago O'Hare International,Chicago,IL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,120504
Richmond International,Richmond,VA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,118552
Palm Beach International,West Palm Beach,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,115264
Orlando International,Orlando,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,113608
"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,113371
Raleigh-Durham International,Raleigh,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,113172
Portland International Jetport,Portland,ME,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,111814
Dallas Love,Dallas,TX,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,106089
Manchester,Manchester,NH,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,102940
Birmingham International,Birmingham,AL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,102709
Pittsburgh International,Pittsburgh,PA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,102012
LaGuardia,New York,NY,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,97676
Asheville Regional,Asheville,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,95305
Richmond International,Richmond,VA,USA,LaGuardia,New York,NY,USA,Comair Inc.,93810
Los Angeles International,Los Angeles,CA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,93700
Louisville International-Standiford,Louisville,KY,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,93582
Birmingham International,Birmingham,AL,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,92943
Port Columbus Intl,Columbus,OH,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,91550
Orlando International,Orlando,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,88887
Santa Barbara Municipal,Santa Barbara,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,88776
Piedmont Triad International,Greensboro,NC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,88714
Bradley International,Windsor Locks,CT,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,88610
Sacramento International,Sacramento,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,87962
Jackson International,Jackson,MS,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,87272
LaGuardia,New York,NY,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,86308
Savannah International,Savannah,GA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,86300
McCarran International,Las Vegas,NV,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,85696
Savannah International,Savannah,GA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,85218
Richmond International,Richmond,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,85208
James M Cox Dayton Intl,Dayton,OH,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,84537
New Orleans International,New Orleans,LA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,83602
Piedmont Triad International,Greensboro,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,83265
Nashville International,Nashville,TN,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,82828
Nashville International,Nashville,TN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,82490
Buffalo Niagara Intl,Buffalo,NY,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,82437
"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,82289
Nashville International,Nashville,TN,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,80882
San Francisco International,San Francisco,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,80820
Los Angeles International,Los Angeles,CA,USA,San Francisco International,San Francisco,CA,USA,United Air Lines Inc.,78708
Charleston AFB/International,Charleston,SC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,78445
Buffalo Niagara Intl,Buffalo,NY,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,77523
Baltimore-Washington International,Baltimore,MD,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,76385
Philadelphia Intl,Philadelphia,PA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,75494
Philadelphia Intl,Philadelphia,PA,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,75226
Corpus Christi International,Corpus Christi,TX,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,74529
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,74380
San Francisco International,San Francisco,CA,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,73802
LaGuardia,New York,NY,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,73264
Lambert-St Louis International,St Louis,MO,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,72966
Ronald Reagan Washington National,Arlington,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,72738
Bangor International,Bangor,ME,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,72461
Columbia Metropolitan,Columbia,SC,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,70687
Tampa International,Tampa,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,70062
Birmingham International,Birmingham,AL,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,70053
Tampa International,Tampa,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,69706
Newark Intl,Newark,NJ,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,69632
Greater Rochester Int'l,Rochester,NY,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,69490
Washington Dulles International,Chantilly,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,69390
Raleigh-Durham International,Raleigh,NC,USA,LaGuardia,New York,NY,USA,Comair Inc.,69074
Southwest Florida International,Ft. Myers,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,69016
Ronald Reagan Washington National,Arlington,VA,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,68903
McCarran International,Las Vegas,NV,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,68516
Kalamazoo County,Kalamazoo,MI,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,68511
Greater Rochester Int'l,Rochester,NY,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,68310
Bradley International,Windsor Locks,CT,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,68222
Chicago O'Hare International,Chicago,IL,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,68014
Los Angeles International,Los Angeles,CA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,67732
General Mitchell International,Milwaukee,WI,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,67112
Los Angeles International,Los Angeles,CA,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,67088
Lovell,Chattanooga,TN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,66954
Chicago O'Hare International,Chicago,IL,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,66506
Akron-Canton Regional,Akron,OH,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,65750
Washington Dulles International,Chantilly,VA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,65506
Charlotte/Douglas International,Charlotte,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,65431
San Antonio International,San Antonio,TX,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,65288
Memphis International,Memphis,TN,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,65000
Springfield-Branson Regional,Springfield,MO,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,64700
Kansas City International,Kansas City,MO,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,63960
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,63944
Palm Beach International,West Palm Beach,FL,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,63942
Memphis International,Memphis,TN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,63376
John F Kennedy Intl,New York,NY,USA,Luis Munoz Marin International,San Juan,PR,USA,American Airlines Inc.,62946
Roanoke Regional/ Woodrum,Roanoke,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,61798
San Diego International-Lindbergh,San Diego,CA,USA,Los Angeles International,Los Angeles,CA,USA,Skywest Airlines Inc.,61592
Austin-Bergstrom International,Austin,TX,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,60784
San Antonio International,San Antonio,TX,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,60760
Indianapolis International,Indianapolis,IN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,60323
Eastern Iowa,Cedar Rapids,IA,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,59982
Louisville International-Standiford,Louisville,KY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,59902
San Diego International-Lindbergh,San Diego,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,59800
Jacksonville International,Jacksonville,FL,USA,LaGuardia,New York,NY,USA,Comair Inc.,59776
Asheville Regional,Asheville,NC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,59769
William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,58734
Columbia Metropolitan,Columbia,SC,USA,Washington Dulles International,Chantilly,VA,USA,Mesa Airlines Inc.,58636
LaGuardia,New York,NY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,56972
New Orleans International,New Orleans,LA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,56722
Mobile Regional,Mobile,AL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,56652
Burlington International,Burlington,VT,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,56045
Memphis International,Memphis,TN,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,56008
Eppley Airfield,Omaha,NE,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,55836
Greenville-Spartanburg,Greer,SC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,55601
Minneapolis-St Paul Intl,Minneapolis,MN,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,55276
Chicago Midway,Chicago,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,55220
Gen Edw L Logan Intl,Boston,MA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,55187
City of Colorado Springs Muni,Colorado Springs,CO,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,55125
Columbia Metropolitan,Columbia,SC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,54585
Richmond International,Richmond,VA,USA,John F Kennedy Intl,New York,NY,USA,Comair Inc.,54178
Greenville-Spartanburg,Greer,SC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,54070
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,53856
Port Columbus Intl,Columbus,OH,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,53807
Arcata,Arcata/Eureka,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,53451
LaGuardia,New York,NY,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,53090
Philadelphia Intl,Philadelphia,PA,USA,Detroit Metropolitan-Wayne County,Detroit,MI,USA,Northwest Airlines Inc.,52996
Port Columbus Intl,Columbus,OH,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,52989
Charleston AFB/International,Charleston,SC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,52906
Minneapolis-St Paul Intl,Minneapolis,MN,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,52848
Nashville International,Nashville,TN,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,52780
Gainesville Regional,Gainesville,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,52726
Richmond International,Richmond,VA,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,51936
Southwest Florida International,Ft. Myers,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,51850
Nantucket Memorial,Nantucket,MA,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,51789
Philadelphia Intl,Philadelphia,PA,USA,Gen Edw L Logan Intl,Boston,MA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),51600
Wilmington International,Wilmington,NC,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,51052
McCarran International,Las Vegas,NV,USA,San Francisco International,San Francisco,CA,USA,United Air Lines Inc.,50778
Central Illinois Regional,Bloomington,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,50724
Akron-Canton Regional,Akron,OH,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,50695
Monterey Peninsula,Monterey,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,49860
Los Angeles International,Los Angeles,CA,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,49792
Miami International,Miami,FL,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,49586
Huntsville International,Huntsville,AL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,49496
Kent County International,Grand Rapids,MI,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,49252
Adams,Little Rock,AR,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Eagle Airlines Inc.,49240
Columbia Metropolitan,Columbia,SC,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,49221
Birmingham International,Birmingham,AL,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,49140
Central Illinois Regional,Bloomington,IL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,49002
Ronald Reagan Washington National,Arlington,VA,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,48991
Adams,Little Rock,AR,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,48546
McCarran International,Las Vegas,NV,USA,John F Kennedy Intl,New York,NY,USA,Delta Air Lines Inc.,48476
Kalamazoo County,Kalamazoo,MI,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,48319
Metropolitan Oakland International,Oakland,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,48310
Lafayette Regional,Lafayette,LA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,48224
Will Rogers World,Oklahoma City,OK,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,48150
Lambert-St Louis International,St Louis,MO,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,48112
Bradley International,Windsor Locks,CT,USA,Chicago O'Hare International,Chicago,IL,USA,American Airlines Inc.,48111
San Francisco International,San Francisco,CA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,47934
Gen Edw L Logan Intl,Boston,MA,USA,John F Kennedy Intl,New York,NY,USA,Comair Inc.,47740
Cincinnati Northern Kentucky Intl,Covington,KY,USA,Newark Intl,Newark,NJ,USA,Expressjet Airlines Inc.,47722
Pensacola Regional,Pensacola,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,47684
Southwest Florida International,Ft. Myers,FL,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,47672
San Diego International-Lindbergh,San Diego,CA,USA,San Francisco International,San Francisco,CA,USA,United Air Lines Inc.,47564
Blue Grass,Lexington,KY,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,47406
John F Kennedy Intl,New York,NY,USA,Miami International,Miami,FL,USA,American Airlines Inc.,47400
Columbus Metropolitan,Columbus,GA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,47382
Charlotte/Douglas International,Charlotte,NC,USA,LaGuardia,New York,NY,USA,Comair Inc.,47304
Wichita Mid-Continent,Wichita,KS,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,47218
Luis Munoz Marin International,San Juan,PR,USA,John F Kennedy Intl,New York,NY,USA,American Airlines Inc.,46936
Pensacola Regional,Pensacola,FL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,46882
San Francisco International,San Francisco,CA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,46812
Montgomery Regional Apt,Montgomery,AL,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,46786
Boise Air Terminal,Boise,ID,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,46722
Greater Rochester Int'l,Rochester,NY,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,46670
Eastern Iowa,Cedar Rapids,IA,USA,Chicago O'Hare International,Chicago,IL,USA,Mesa Airlines Inc.,46629
Buffalo Niagara Intl,Buffalo,NY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,46445
Philadelphia Intl,Philadelphia,PA,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,46356
Pittsburgh International,Pittsburgh,PA,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,46332
Norfolk International,Norfolk,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,46214
Richmond International,Richmond,VA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,46182
LaGuardia,New York,NY,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Continental Air Lines Inc.,45930
Mahlon Sweet,Eugene,OR,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,45888
Eppley Airfield,Omaha,NE,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,45818
Gen Edw L Logan Intl,Boston,MA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,45698
Burlington International,Burlington,VT,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,45657
McAllen Miller International,McAllen,TX,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,45418
Kent County International,Grand Rapids,MI,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,45396
Chicago O'Hare International,Chicago,IL,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,45376
Louisville International-Standiford,Louisville,KY,USA,Chicago O'Hare International,Chicago,IL,USA,Skywest Airlines Inc.,45324
Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Denver Intl,Denver,CO,USA,Frontier Airlines Inc.,45276
Baltimore-Washington International,Baltimore,MD,USA,Gen Edw L Logan Intl,Boston,MA,USA,Comair Inc.,45241
McCarran International,Las Vegas,NV,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,45010
Shreveport Regional,Shreveport,LA,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,44814
General Mitchell International,Milwaukee,WI,USA,Cleveland-Hopkins Intl,Cleveland,OH,USA,Expressjet Airlines Inc.,44564
Brownsville/S.Padre Island International,Brownsville,TX,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,44483
Ontario International,Ontario,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,44444
Rochester International,Rochester,MN,USA,Chicago O'Hare International,Chicago,IL,USA,American Eagle Airlines Inc.,44368
Kansas City International,Kansas City,MO,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,44082
Reno/Tahoe International,Reno,NV,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,44062
Los Angeles International,Los Angeles,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,43802
Birmingham International,Birmingham,AL,USA,LaGuardia,New York,NY,USA,Comair Inc.,43720
Jackson International,Jackson,MS,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,43672
Indianapolis International,Indianapolis,IN,USA,Newark Intl,Newark,NJ,USA,Continental Air Lines Inc.,43654
Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,43586
Greater Rochester Int'l,Rochester,NY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,43562
Pensacola Regional,Pensacola,FL,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,43502
Austin-Bergstrom International,Austin,TX,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,43487
Nashville International,Nashville,TN,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,43330
Minneapolis-St Paul Intl,Minneapolis,MN,USA,Chicago O'Hare International,Chicago,IL,USA,United Air Lines Inc.,43254
Louisville International-Standiford,Louisville,KY,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,43196
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,42934
"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Eagle Airlines Inc.,42931
New Orleans International,New Orleans,LA,USA,John F Kennedy Intl,New York,NY,USA,JetBlue Airways,42778
Gen Edw L Logan Intl,Boston,MA,USA,Ronald Reagan Washington National,Arlington,VA,USA,Comair Inc.,42748
San Francisco International,San Francisco,CA,USA,Los Angeles International,Los Angeles,CA,USA,United Air Lines Inc.,42712
Portland International Jetport,Portland,ME,USA,LaGuardia,New York,NY,USA,Comair Inc.,42660
William P Hobby,Houston,TX,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,AirTran Airways Corporation,42638
San Luis Obispo Co-McChesney,San Luis Obispo,CA,USA,San Francisco International,San Francisco,CA,USA,Skywest Airlines Inc.,42488
Ronald Reagan Washington National,Arlington,VA,USA,George Bush Intercontinental,Houston,TX,USA,Continental Air Lines Inc.,42333
Sacramento International,Sacramento,CA,USA,Seattle-Tacoma Intl,Seattle,WA,USA,Alaska Airlines Inc.,42258
Charlotte/Douglas International,Charlotte,NC,USA,George Bush Intercontinental,Houston,TX,USA,Expressjet Airlines Inc.,42203
Salt Lake City Intl,Salt Lake City,UT,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,42160
Raleigh-Durham International,Raleigh,NC,USA,Cincinnati Northern Kentucky Intl,Covington,KY,USA,Comair Inc.,41812
Adams,Little Rock,AR,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Delta Air Lines Inc.,41652
Kansas City International,Kansas City,MO,USA,Chicago Midway,Chicago,IL,USA,Southwest Airlines Co.,41652
Birmingham International,Birmingham,AL,USA,Chicago O'Hare International,Chicago,IL,USA,Independence Air,41586
John F Kennedy Intl,New York,NY,USA,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,JetBlue Airways,41408
Yeager,Charleston,WV,USA,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Atlantic Southeast Airlines,41384
